MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Same_Condition,Same_exterior,Bsmt_per_sf_done,low_qual_per,total_rm,total_deck_porch,age,age_remodel,OverallScore,ExterScore,BsmtScore,GarageScore,YrMon,log_sale_price
RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,BrkFace,196.0,PConc,No,GLQ,Unf,150,GasA,3,Y,SBrkr,1710,1,Gd,Typ,0,0,Attchd,2003.0,RFn,2,548,Y,0,0,2,2008,WD,Normal,True,True,0.8247663551401869,0.0,11.5,61,5,5,2.5,2.5,2.5,2.0,2008-02-01,12.247694320220994
RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,1Fam,1Story,Gable,CompShg,MetalSd,None,0.0,CBlock,Gd,ALQ,Unf,284,GasA,3,Y,SBrkr,1262,1,TA,Typ,1,2,Attchd,1976.0,RFn,2,460,Y,0,0,5,2007,WD,Normal,False,True,0.7749603803486529,0.0,8.5,298,31,31,2.5,2.0,2.5,2.0,2007-05-01,12.109010932687042
RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,BrkFace,162.0,PConc,Mn,GLQ,Unf,434,GasA,3,Y,SBrkr,1786,1,Gd,Typ,1,2,Attchd,2001.0,RFn,2,608,Y,0,0,9,2008,WD,Normal,True,True,0.5282608695652173,0.0,9.5,42,7,6,2.5,2.5,2.5,2.0,2008-09-01,12.31716669303576
RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,None,0.0,BrkTil,No,ALQ,Unf,540,GasA,3,Y,SBrkr,1717,1,Gd,Typ,1,3,Detchd,1998.0,Unf,3,642,Y,0,0,2,2006,WD,Abnorml,True,False,0.2857142857142857,0.0,9.0,307,91,36,2.5,2.0,2.5,2.0,2006-02-01,11.84939770159144
RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,1Fam,2Story,Gable,CompShg,VinylSd,BrkFace,350.0,PConc,Av,GLQ,Unf,490,GasA,3,Y,SBrkr,2198,1,Gd,Typ,1,2,Attchd,2000.0,RFn,3,836,Y,0,0,12,2008,WD,Normal,True,True,0.5720524017467249,0.0,12.5,276,8,8,2.5,2.5,2.5,2.0,2008-12-01,12.429216196844383
RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,None,0.0,Wood,No,GLQ,Unf,64,GasA,3,Y,SBrkr,1362,1,TA,Typ,0,0,Attchd,1993.0,Unf,2,480,Y,0,700,10,2009,WD,Normal,True,True,0.9195979899497487,0.0,7.5,390,16,14,2.0,2.0,2.5,2.0,2009-10-01,11.870599909242044
RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,CompShg,VinylSd,Stone,186.0,PConc,Av,GLQ,Unf,317,GasA,3,Y,SBrkr,1694,1,Gd,Typ,1,3,Attchd,2004.0,RFn,2,636,Y,0,0,8,2007,WD,Normal,True,True,0.8119810201660735,0.0,10.0,312,3,2,2.5,2.5,2.5,2.0,2007-08-01,12.634603026569334
RL,69.79733110925771,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,1Fam,2Story,Gable,CompShg,HdBoard,Stone,240.0,CBlock,Mn,ALQ,BLQ,216,GasA,3,Y,SBrkr,2090,1,TA,Typ,2,2,Attchd,1973.0,RFn,2,484,Y,0,350,11,2009,WD,Normal,False,True,0.8048780487804879,0.0,10.5,667,36,36,2.5,2.0,2.5,2.0,2009-11-01,12.206072645530174
RM,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,Gable,CompShg,BrkFace,None,0.0,BrkTil,No,Unf,Unf,952,GasA,3,Y,FuseF,1774,2,TA,Min1,2,2,Detchd,1931.0,Unf,2,468,Y,0,0,4,2008,WD,Abnorml,False,False,0.0,0.0,10.0,295,77,58,2.5,2.0,2.0,2.0,2008-04-01,11.77452020265869
RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,None,0.0,BrkTil,No,GLQ,Unf,140,GasA,3,Y,SBrkr,1077,2,TA,Typ,2,2,Attchd,1939.0,RFn,1,205,Y,0,0,1,2008,WD,Normal,True,True,0.858728557013118,0.0,7.0,4,69,58,2.0,2.0,2.0,2.5,2008-01-01,11.678439903447801
