,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_aefa77662d5bfc1d,fulltime,analytics,6 days ago,Head of Customer Insight & Analytics,Rank Group,,Maidenhead,18 reviews,"� Responsible for leading a team of Analysts and Researchers to high performance standards, translate Insights and Analytics to commercial outputs driving..."
1,jl_719d91b70ae97f1c,fulltime,analytics,1 day ago,Head of Performance & Analytics,Barnet Clinical Commissioning Group,"£63,754 - £75,907 a year",Barnet,,"Reporting to the Director of QIPP, Planning and Performance, the Head of Performance and Analytics will oversee performance reporting and management as well as..."
2,jl_d123655931ba246c,fulltime,analytics,43 minutes ago,Insights & Analytics Intern | 8 week summer placement,Asos.com,,London,233 reviews,Developing a great understanding of modern analytics software – e.g. Adobe Analytics. Insights & Analytics at ASOS....
3,jl_72f97ac8201bc2a2,fulltime,analytics,30+ days ago,Intern (Data Analytics),Keppel Corporation,,Keppel,3 reviews,Supports the Data Analytics team on project basis. The ideal candidate needs to be analytical and able to work with numbers well....
4,jl_bbd4d855dae0fede,fulltime,analytics,19 hours ago,Data & Analytics Analyst,RBS,,Belfast,"2,920 reviews",Strong analytic and problem solving abilities. Join us as a Data & Analytics Analyst in Bristol. Keeping up with developments in data analytics and sharing new...
5,jl_e9ea6c3d4fca065a,fulltime,analytics,30+ days ago,Analytics Graduate Programme 2019-2020,Accenture,,London,"14,997 reviews","Analytics Graduate Programme. The answer is Analytics and its enablers include technology, infrastructure, data science and business...."
6,jl_cee98ab894ae35fa,fulltime,analytics,2 days ago,Reporting Analytics Manager,Homes England,"£30,300 - £58,580 a year",Birmingham B3,2 reviews,The Reporting and Analytics Manager will report directly to the Reporting and Analytics Senior Manager and has line management responsibility....
7,jl_b31a196a2fff5772,fulltime,analytics,1 day ago,"Advanced Analytics Consultant (Predictive, AI, ML)",Capita Plc,,Edinburgh,"2,018 reviews","Become an Advanced Analytics Consultant with Barrachd. IBM SPSS, ‘R’ – programming language, Python, IBM Cognos BI, other Business Intelligence tools and..."
8,jl_075807601f30181b,fulltime,analytics,6 hours ago,Innovus Summer Intern,Cadence Design Systems,,Cambridge,147 reviews,"O Excellent Creative Analytic Problem Solving Skills. At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of..."
9,jl_6ee1d3010e922914,fulltime,analytics,1 day ago,Segment Analytics Lead,BP,,Sunbury,"2,512 reviews",People Analytics experience. To build HR analytics capability and develop a delivery framework to drive commercial value from BP’s people information and own...
