,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_aefa77662d5bfc1d,permanent,analytics,6 days ago,Head of Customer Insight & Analytics,Rank Group,,Maidenhead,18 reviews,"� Responsible for leading a team of Analysts and Researchers to high performance standards, translate Insights and Analytics to commercial outputs driving..."
1,jl_b31a196a2fff5772,permanent,analytics,1 day ago,"Advanced Analytics Consultant (Predictive, AI, ML)",Capita Plc,,Edinburgh,"2,017 reviews","Become an Advanced Analytics Consultant with Barrachd. IBM SPSS, ‘R’ – programming language, Python, IBM Cognos BI, other Business Intelligence tools and..."
2,jl_cee98ab894ae35fa,permanent,analytics,2 days ago,Reporting Analytics Manager,Homes England,"£30,300 - £58,580 a year",Birmingham B3,2 reviews,The Reporting and Analytics Manager will report directly to the Reporting and Analytics Senior Manager and has line management responsibility....
3,jl_3d2182b221e6969f,permanent,analytics,12 days ago,Data Analytics (Teradata),Barclays,,London,"4,332 reviews",Data Analytics (Teradata) - 90192230. You will be responsible for enabling remediation projects to respond to complex business challenges through the...
4,jl_4ae17962a8a55301,permanent,analytics,10 days ago,Head of Business Intelligence and Analytics,Shaw Trust,"£50,000 - £60,000 a year",United Kingdom,114 reviews,Purpose The Head of Business Intelligence is a senior leadership role within Shaw Trust Group. The role leads an independent function reporting into the...
5,jl_e81e34ae5d6b70e5,permanent,analytics,30 days ago,2019 UK Graduate consultant scheme: Economic & Social Develo...,Mott MacDonald,,London,394 reviews,"Analytics - GIS, spatial mapping, data management. Intelligent analytics – Geographical Information Systems (GIS) mapping, data analysis, social and..."
6,jl_e9d6a37781d8f707,permanent,analytics,5 days ago,L&D analytics manager,Thames Water Utilites,"£48,000 a year",Reading,16 reviews,The L&D Performance and Analytics Manager will be key to ensuring that our function are focused on the right strategic and BAU priorities and will be...
7,jl_f758475add3afd28,permanent,analytics,12 days ago,International Strategy Analyst,Bracknell - Fixed Term & Permanent Hires,,Bracknell,"2,479 reviews","Ideal candidates will be educated to degree level, preferably from a business or quantitative / analytical discipline (for example, business studies /..."
8,jl_139f3d3350959f58,permanent,analytics,30+ days ago,ANALYTICS & REPORTING ASSOCIATE (ENERGY INVESTMENTS),Octopus,,London,,"The Analytics and Reporting Associate will liaise directly with these operating teams, to develop the value, integrity and management of data used to track and..."
9,jl_f409d37bc011febf,permanent,analytics,13 days ago,Analytics Lead,Barclays,,London,"4,332 reviews","Analytics Lead - 90206155. Marketing Performance Analytics Lead. Establish closer alignment with Data Analytics Insights and Strategic Analytics team, and..."
10,jl_3e9c8391d38b40af,permanent,analytics,19 days ago,Analytics Manager,The Bridge,"£80,000 a year",Leeds,14 reviews,"Ideally have previous experience coaching and mentoring, preferably direct management of analytic staff...."
11,jl_c3e4041b92df17e0,permanent,analytics,13 days ago,International Strategy Analyst,Avis Budget Group,,Bracknell RG12,"2,479 reviews","Ideal candidates will be educated to degree level, preferably from a business or quantitative / analytical discipline (for example, business studies /..."
12,jl_5bac2542fc4413d4,permanent,analytics,29 days ago,Analytics and Data Science,Amey plc,,United Kingdom,131 reviews,"Data analytics, machine learning, system modelling and optimisation techniques. Amey Strategic Consulting is UK’s leading team dedicated to data, analytics and..."
13,jl_b760e43591c78546,permanent,analytics,20 hours ago,Data Warehouse & Analytics Consultant,Capita Plc,,Wiltshire,"2,017 reviews",Become a Data Warehouse & Analytics Consultant with Barrachd. A Data Warehouse & Analytics Consultant is urgently required for one of the fastest growing Cognos...
