,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_a6aac63c6c160a07,fulltime,business+intelligence,3 days ago,Business Intelligence Internship,Kapeinternships,,London,,Distributing these templated Business Intelligence reports internally to relevant functional areas. As required by the business....
1,jl_5873a76350c2f1ef,fulltime,business+intelligence,7 days ago,Business Intelligence Officer,Central and North West London NHS Foundation Trust,"£26,565 - £42,046 a year",London NW1,16 reviews,An exciting opportunity has arisen for a Business Intelligence Officer within our Business Intelligence and Information department....
2,jl_8561f1b6cd4a665e,fulltime,business+intelligence,6 days ago,Business Intelligence Developer,Joules Limited,,Corby,,Supporting the day to day running of Joules Business Intelligence Solutions and supporting existing BI systems whilst developing new and innovative tools to...
3,jl_fda9a09c39f0c7aa,fulltime,business+intelligence,3 days ago,Business Intelligence Manager,East Sussex County Council,"£35,425 - £36,842 a year",Lewes,51 reviews,The team designs business intelligence reports and provisions data from key information systems. This role is responsible for the management and development of...
4,jl_e9028b09af3d0a46,fulltime,business+intelligence,7 days ago,Senior Business Intelligence Developer,Health Jobs UK,"£33,222 - £43,041 a year",Preston,,"MLCSU delivers services to a large geography and has Business Intelligence staff locations in Leyland near Preston, Stoke, West Bromwich, Liverpool, Chester and..."
5,jl_9b5f7553611a35bb,fulltime,business+intelligence,6 days ago,Senior Business Intelligence Developer,NHS Midlands and Lancashire Commissioning Support...,"£33,222 - £43,041 a year",Leyland PR26,"4,005 reviews","MLCSU delivers services to a large geography and has Business Intelligence staff locations in Leyland near Preston, Stoke, West Bromwich, Liverpool, Chester and..."
6,jl_5f30016ca08e9c59,fulltime,business+intelligence,6 days ago,Business Intelligence Lead,East and North Hertfordshire NHS Trust,"£42,414 - £49,969 a year",Stevenage SG1,13 reviews,We are looking for an ambitious Business Intelligence Lead that will help transform our Information service and the way we support divisions in achieving their...
7,jl_869bc0f8ff4e88c9,fulltime,business+intelligence,9 days ago,Business Intelligence Analyst,Rotork PLC,,Bath,,"Recent strategic initiatives have allowed for the creation of a cloud-based enterprise data warehouse, reporting and business intelligence platform which the..."
8,jl_dd1f28a31c0a037d,fulltime,business+intelligence,20 days ago,Business Intelligence Developer,Voyage Care,,Lichfield,352 reviews,"We are looking to recruit an enthusiastic Business Intelligence developer in order to assist us with providing the business with clear, accurate and timely..."
9,jl_496e6baa85944a21,fulltime,business+intelligence,30+ days ago,Business Intelligence - 12 Month Placement,BMW,"£17,500 a year",Farnborough,"2,057 reviews","<BR>• Studying towards a relevant degree ideally in one of the following degree subjects:&nbsp;Business Information Systems, Computer Science, Data Analytics..."
10,jl_402c600fa5430bdf,fulltime,business+intelligence,3 days ago,Business Intelligence Analyst,Robert Gordon University,"£30,395 - £33,199 a year",Garthdee,24 reviews,Business Intelligence Implementation Manager. Good working knowledge of an existing business intelligence system....
11,jl_a9198998414c5530,fulltime,business+intelligence,2 days ago,Business Intelligence Senior Analyst,Bolton NHS Foundation Trust,"£28,050 - £36,644 a year",Bolton BL4,12 reviews,An exciting opportunity has arisen within the Business Intelligence at Bolton NHS Foundation Trust for a Business Intelligence Senior Analyst....
12,jl_a3fc0d0da8f928bc,fulltime,business+intelligence,30+ days ago,Counter Terrorism and Security Graduate,Defence Science and Technology Laboratory,"£21,000 - £27,000 a year",St Albans,17 reviews,Intelligence product to inform both military and government customers.  Technical Intelligence and Investigation  Digital investigation capabilities....
13,jl_54c3c294604d4cf5,fulltime,business+intelligence,6 days ago,Business Intelligence SQL Developer,"Wrightington, Wigan and Leigh NHS Foundation Trust","£28,050 - £36,644 a year",Wigan WN1,2 reviews,Degree educated or equivalent experience & knowledge in the above technologies & Business Intelligence....
14,jl_5532b66f734de4e7,fulltime,business+intelligence,9 days ago,Intelligence Researcher - Sensitive Intelligence Unit,Ministry of Justice,"£22,060 - £24,523 a year",London,343 reviews,Maintain a catalogue of intelligence products and a database of intelligence customers. The post holder will be expected to provide high quality intelligence...
