,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_1c4bbb310c1865b4,permanent,business+intelligence,21 hours ago,Business Intelligence Developer,Codex,"£35,000 a year",Hampshire,10 reviews,"Business Intelligence Developer (Qlikview) - London £35,000-£45,000. Our client is looking for an ambitious Business Intelligence Developer for a young and..."
1,jl_8561f1b6cd4a665e,permanent,business+intelligence,6 days ago,Business Intelligence Developer,Joules Limited,,Corby,,Supporting the day to day running of Joules Business Intelligence Solutions and supporting existing BI systems whilst developing new and innovative tools to...
2,jl_fda9a09c39f0c7aa,permanent,business+intelligence,3 days ago,Business Intelligence Manager,East Sussex County Council,"£35,425 - £36,842 a year",Lewes,51 reviews,The team designs business intelligence reports and provisions data from key information systems. This role is responsible for the management and development of...
3,jl_e9028b09af3d0a46,permanent,business+intelligence,7 days ago,Senior Business Intelligence Developer,Health Jobs UK,"£33,222 - £43,041 a year",Preston,,"MLCSU delivers services to a large geography and has Business Intelligence staff locations in Leyland near Preston, Stoke, West Bromwich, Liverpool, Chester and..."
4,jl_4ae17962a8a55301,permanent,business+intelligence,10 days ago,Head of Business Intelligence and Analytics,Shaw Trust,"£50,000 - £60,000 a year",United Kingdom,114 reviews,"The Head of Business Intelligence will lead a business insight team, and in conjunction with the Director of Assurance and Intelligence will work to define the..."
5,jl_42709d2e132d39e5,permanent,business+intelligence,3 days ago,Business Intelligence Consultant,Codex,"£40,000 a year",London,10 reviews,"Business Intelligence Consultant London. The consultancy is seeking a highly talented, self-motivated candidate who has a strong hunger to succeed to help drive..."
6,jl_a3fc0d0da8f928bc,permanent,business+intelligence,30+ days ago,Counter Terrorism and Security Graduate,Defence Science and Technology Laboratory,"£21,000 - £27,000 a year",St Albans,17 reviews,Intelligence product to inform both military and government customers.  Technical Intelligence and Investigation  Digital investigation capabilities....
7,jl_5877c9e89727669e,permanent,business+intelligence,23 hours ago,Asset Intelligence Co-ordinator,The Guinness Partnership,"£22,256 a year",Oldham,68 reviews,As the business grows we are investing in our team and we now have a new opportunity for an Asset Intelligence Co-ordinator....
8,jl_5532b66f734de4e7,permanent,business+intelligence,9 days ago,Intelligence Researcher - Sensitive Intelligence Unit,Ministry of Justice,"£22,060 - £24,523 a year",London,343 reviews,Maintain a catalogue of intelligence products and a database of intelligence customers. The post holder will be expected to provide high quality intelligence...
9,jl_c236901d28e5107a,permanent,business+intelligence,8 days ago,Business Intelligence Manager - Parking Operations,London Borough of Camden,"£44,612 - £51,751 a year",London,43 reviews,"Location: 5 Pancras Square, London N1C 4AG Salary: £44,612 - £51,751 Contract Type: Permanent, Full time, 36 hours per week Alternative flexible working..."
10,jl_9662770d2d6e0d5f,permanent,business+intelligence,14 days ago,Band 3 - Business Admin - Regional Office,HM Prison & Probation Service,"£18,499 - £20,565 a year",Staffordshire,222 reviews,Security Intelligence Collator. Delivery - The jobs at this level will be task focused delivering defined activity or services....
11,jl_aa79b44f20c3eedb,permanent,business+intelligence,9 days ago,Business Intelligence & Performance Manager,GatenbySanderson,"£49,432 - £50,896 a year",Taunton,,You will also develop our business intelligence ambitions and support service improvements across the council....
12,jl_6c5862420f2c5a73,permanent,business+intelligence,16 days ago,Business Intelligence Insight Lead,Health Jobs UK,"£42,414 - £49,969 a year",Leicester,,The successful candidates will advise on available information to support the operational and business needs of customers;...
13,jl_47a91bcc4bc48d79,permanent,business+intelligence,6 days ago,Business Intelligence Developer,Stericycle,,Leeds,"1,010 reviews","We are looking for a Business Intelligence Developer who can demonstrate:. Working in a reporting services environment, the Business Intelligence Developer will..."
14,jl_9b2d1678370ec6e5,permanent,business+intelligence,30+ days ago,Assistant Business Intelligence Manager,Müller UK & Ireland,,Market Drayton,100 reviews,We are currently recruiting for a vacancy to join the Business Intelligence team. Providing ad hoc analysis to drive the business and support day-to-day...
15,jl_a58ebded133714fb,permanent,business+intelligence,12 hours ago,Head of New Business,GatenbySanderson,"£60,000 - £65,000 a year",London,,"Unicef UK Head of New Business candidate pack.pdf. We are seeking a Head of New Business to play a key role in securing and developing high-value, strategic and..."
16,jl_2e7c31a04f27b232,permanent,business+intelligence,13 days ago,"Analyst, TRACER Unit, Intelligence Collection -",National Crime Agency,"£26,536 - £32,000 a year",London,22 reviews,"Analyst, TRACER Unit, Intelligence Collection  IP1809201HG. It is a collaborative business function being established and operated through the NCA...."
17,jl_663c20e647baa4dd,permanent,business+intelligence,5 days ago,CMA815 Principal Intelligence Officer,Competition & Markets Authority,"£50,688 - £58,844 a year",London WC1B,3 reviews, Good working knowledge of the National Intelligence Model and the intelligence cycle. Our activity protects consumers and business and as we continue to step...
18,jl_a61df3873cfb4f3f,permanent,business+intelligence,7 days ago,Business Intelligence Analyst,Willmott Dixon Group,,Letchworth,19 reviews,The key responsibilities / objectives of a Business Intelligence Analyst will include:. ISEB Business Analysis....
19,jl_b07f105e56334f5d,permanent,business+intelligence,21 days ago,Business Intelligence & Data Analytics Manager,Thurrock Council,"£45,828 - £61,467 a year",Grays RM17,42 reviews,"This is an exciting opportunity to support the implementation of the Council’s strategic agenda for Children’s Services and Adult Social Care, leading on..."
20,jl_aaa70ec578d2055e,permanent,business+intelligence,5 days ago,Investigator,Hope For Justice,,Manchester,2 reviews,Complete intelligence reports for sharing with appropriate law enforcement agencies. Experience of gathering information or intelligence with preference to...
21,jl_be851cb13d38ca97,permanent,business+intelligence,30+ days ago,MicroStrategy Business Intelligence (BI) Senior Consultant,Myriad,"£50,000 - £80,000 a year",Home Based,6 reviews,When you start this post you should already possess a solid background in MicroStrategy with strong analysis skills to understand and design solutions to meet...
22,jl_68028d56e2360db1,permanent,business+intelligence,30+ days ago,Business Intelligence Business Analyst,WorldPay,,London,192 reviews,"Working with customers large and small we help them to take payments quickly, safely and reliably, allowing them to grow their businesses and making your life..."
23,jl_2c031e2e4aae29b0,permanent,business+intelligence,30+ days ago,Business Intelligence Business Analyst,Intelliflo,,Kingston upon Thames,3 reviews,"The role of the Business Intelligence Business Analyst is to :. Ensure that the entire business fully utilises its Business Intelligence solutions, making full..."
24,jl_4a6c12976e74f1da,permanent,business+intelligence,2 days ago,Immigration Enforcement - Financial Investigator up to 8 pos...,Home Office,"£23,447 a year",Leeds,, Duties will reflect local CFI team processes and business requirements. The implementation of the CFI Model Office means FI staff will be working ever more...
25,jl_b1de8355b944fdf8,permanent,business+intelligence,15 days ago,Band 3 - Business Admin - Regional Office,Ministry of Justice,"£18,499 - £20,565 a year",Stafford,343 reviews,"Security Intelligence Collator. The Loan/Secondment is subject to the approval of the selected candidate's Business Unit, which should be obtained before..."
26,jl_c67431376894318f,permanent,business+intelligence,6 days ago,Market Intelligence Analyst,James Fisher & Sons plc,,Inchinnan,6 reviews,"Experience in research or market/competitive intelligence within a business environment. Marketing, business, economics)...."
27,jl_7e5e285a8caac2b9,permanent,business+intelligence,12 hours ago,Business Manager,Nissan Dealers,"£60,000 a year",Epsom KT17,,"As a Business Manager, your key responsibilities will be to sell finance, insurance, warranties and additional products to our customers...."
28,jl_94299c12e643f042,permanent,business+intelligence,13 days ago,Social Researcher and Senior Researcher,HM Revenue and Customs,"£30,260 - £44,240 a year",Liverpool,700 reviews, Testing options for supporting small business transition to Making Tax Digital for business.  A large business panel survey....
