,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_d8844c8a0c78b2ef,permanent,data+analyst,2 hours ago,Data Analyst,Wilkinson Hardware Stores,,Worksop,"1,246 reviews",Provide / support the Data Governance team with data definition specifications and data quality assessment metrics....
1,jl_5c9490b54fdb4072,permanent,data+analyst,3 hours ago,Data Analyst,Barclays,,Glasgow,"4,332 reviews","Data Analyst - 90210723. Job Title – Data Analyst. Together with implementing data quality, data lineage, data governance & strategy across the corporate bank,..."
2,jl_650cff5dfb789610,permanent,data+analyst,9 hours ago,Data Visualisation Analyst,Barclays,,Glasgow,"4,332 reviews",Data Visualisation Analyst. Data Visualisation Analyst - 90192508. Experience with big data projects and data analytics. Knowledge on big data technologies....
3,jl_02c8bfacb7b2d1cb,permanent,data+analyst,2 days ago,Retail Data Analyst,Jet2.com and Jet2holidays,,Leeds,135 reviews,"Reporting to the Retail Revenue Manager, the Retail Data Analyst will be responsible for monitoring our key online and onboard retail products, whilst..."
4,jl_6b8942012bd01c63,permanent,data+analyst,2 days ago,Research and Data Analyst,Office of Qualifications and Examinations Regulati...,"£31,000 - £36,540 a year",Coventry CV1,," Working with others in the Data and Analytics team to develop new data initiatives such as interactive visualisations, automation, data science, big data and..."
5,jl_c2f2e1627367aad3,permanent,data+analyst,30+ days ago,Data & Reporting Analyst,Attwood Perks,"£22,000 - £24,000 a year",Chelmsford,,Developing an understanding of data fields and data structure. We’re excited to be partnering with a dynamic and friendly business in central Chelmsford who are...
6,jl_8639d5233cedec6a,permanent,data+analyst,1 day ago,Data Analyst,Legal & General Group Plc.,"£35,000 - £40,000 a year",Hove,10 reviews,"Able to adapt to and work with change, in a fast growing division and marketing function. We take pride in being there for our customers...."
7,jl_0c018b18cc1f4426,permanent,data+analyst,1 day ago,Research Data Analyst,Which?,,London,9 reviews,We have an exciting opportunity for a Research Data Analyst to join the Policy & Analysis team in London. As one of our Research Data Analysts you will work in...
8,jl_2a2d280e3bb6893e,permanent,data+analyst,8 days ago,PowerBI Data Analyst,Rank Group,,Maidenhead,18 reviews,"Translates customer, transactional and behavioral data into key insights and business deliverables such as Marketing and Operations...."
9,jl_95469b8d44cf0d18,permanent,data+analyst,2 days ago,Systems Analyst - Data,Costa Coffee,,Dunstable,"1,684 reviews",Previous experience of data mapping and data migrations. Be involved in Data Mapping and Data Migration projects....
10,jl_4022dd18dae161b7,permanent,data+analyst,20 days ago,Trainee Data Analyst,Hayley Group,,Halesowen,3 reviews,Trainee Data Analyst. We have an exciting new opportunity for a data analyst to join our team in Halesowen. Perform product data analysis as required....
11,jl_fd341e5d13b24a0e,permanent,data+analyst,1 day ago,Band B2 - Data Analyst / Modeller,Cabinet Office,"£31,339 - £38,580 a year",London,27 reviews,Sense-check data and weed out outliers or seek clarifications on data that looks inconsistent. Flag data problems noted to the source....
12,jl_0f04a6633858db05,permanent,data+analyst,7 days ago,Product Data Analyst Apprentice,N Brown,"£20,000 a year",Manchester M60,,As our Product Data Analyst Apprentice you will be trained to provide and present data and insight to drive decision making taking direction from the Product...
13,jl_1dd9d5871fee5770,permanent,data+analyst,3 hours ago,Lead Data Analyst,Barclays,,Glasgow,"4,332 reviews","Lead Data Analyst - 90210694. Job Title – Lead Data Analyst, VP. Providing leadership & guidance to a team of data analysts...."
14,jl_708f838c76153238,permanent,data+analyst,6 days ago,Data Analyst,ODEON,,Manchester M1,108 reviews,"Execute deep dives on data sets to understand their content and build trusted, accurate data products. Develop and design database using recognised standards..."
15,jl_109395a747101130,permanent,data+analyst,13 days ago,Data Analyst,Jems Recruitment,"£27,000 - £30,000 a year",Welwyn Garden City,,As a Data Analyst you will:. Are you an experienced Data Analyst who is looking to work for a business that makes commercial decisions based on analysing data...
16,jl_d0ca41023a81d735,permanent,data+analyst,14 days ago,Crime Analyst,Hertfordshire Police,"£24,273 - £29,601 a year",Hatfield,9 reviews,You will be working within a team of Crime Analysts in the Local Policing Command Intelligence Unit and report to a Senior Crime Analyst....
17,jl_f8cd9f9111f3fe01,permanent,data+analyst,9 days ago,Customer Data Analyst,B&Q,"£19,000 - £22,000 a year",Eastleigh SO53,"1,648 reviews","Customer Data Analyst. Knowledge of data manipulation techniques. Join us as a Customer Data Analyst, and you’ll help us speak to all these customers, all..."
18,jl_fee61f5e016415e9,permanent,data+analyst,20 days ago,Junior Overseas Operations Analyst,Jet2.com and Jet2holidays,,Leeds,135 reviews,"In this fast paced and exciting role, you will assist the Jet2holidays Overseas Operations Team by delivering industry leading data...."
19,jl_fbc9c6385234ae43,permanent,data+analyst,9 days ago,HR Systems and Data Analyst,Homes England,"£25,000 - £35,000 a year",Gateshead NE11,2 reviews,"Perform administrative functions including business process configuration, data loads, integrations and updates...."
20,jl_c690886c9a7af780,permanent,data+analyst,30+ days ago,CRM DATA ANALYST,Kite Group,"£30,000 - £35,000 a year",London,,An understanding of data structure. Experience surrounding data quality and enrichment. Data Analyst required for a leading Commercial Real Estate company to...
21,jl_8e6b1b7a40b041d0,permanent,data+analyst,11 hours ago,Junior Data Analyst,Global CTS Ltd,"£24,000 a year",Oxford,,"Data Analyst - grad opportunity, Wheatley, OX33 - £24,000 plus excellent benefits. Global CTS is working with an established, medium sized business who are..."
22,jl_54232a4a90cea297,permanent,data+analyst,30+ days ago,Data Analyst,Avios Group,"£32,000 a year",Crawley,11 reviews,Conduct data analysis - design and deliver the required data extraction. Experience in data warehouse development and exploitation....
23,jl_f0b045e86454ffa1,permanent,data+analyst,1 day ago,G7 Data Science Analyst - Institute for Apprenticeships,Institute for Apprenticeships,"£48,493 a year",Coventry,," Data access - managing access to data sources, and work to improve the quality of data. The data science teams extract insight from data and create data..."
24,jl_c0de6f80a8505f8b,permanent,data+analyst,22 hours ago,Customer Research Analyst,Leeds Building Society,,Leeds,39 reviews,Highly numerate and data savvy. Leeds Building Society is looking for a Customer Research Analyst to join our Customer Insight Department....
