,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_64eaa46804364549,fulltime,data+engineer,11 days ago,Graduate Big Data Engineer,Jagex,,Cambridge,4 reviews,"As Graduate Big Data Engineer, you will:. Jagex are looking for a Graduate Big Data Engineer to join our Big Data Platform team...."
1,jl_7c235a26d266283a,fulltime,data+engineer,2 days ago,Data Engineer,RBS,,Edinburgh,"2,920 reviews","As a data engineer, you'll be supporting data scientists, and carrying out data sourcing, data wrangling and feature engineering tasks...."
2,jl_0c101a183a2bb72e,fulltime,data+engineer,8 days ago,Engineer (Data) - x 2,University of the West of England,"£29,515 - £33,199 a year",Bristol,40 reviews,"In this role you would be supporting the Principal Engineer and Senior Engineers in the delivery of a successful data management and design function, through..."
3,jl_8cfa6fa4e179803b,fulltime,data+engineer,20 days ago,Data Engineer,Centrica,,Staines-upon-Thames TW18,"1,087 reviews","Engage with Centrica’s data lake strategy, leverage data lake capabilities to design, specify, build and deliver future fit-for-purpose pricing and analytics..."
4,jl_1e44469e338fc5f3,fulltime,data+engineer,30+ days ago,Data Engineer,Medialab,,London,5 reviews,Responsible for data integration and hosting across offline and online data sources. Are you looking for a fresh challenge in the data industry and to hone your...
5,jl_6d1a9b3cc1292e61,fulltime,data+engineer,5 days ago,Data Science Engineer,Accenture,,United Kingdom,"14,997 reviews","Data Science Engineer. Clean, aggregate and interpret data in preparation for analysis; Exceptional creativity at solving unstructured and unseen problems using..."
6,jl_f38c27a93fb3c985,fulltime,data+engineer,1 day ago,Data Engineer,Sainsburys,,London,"6,733 reviews",Data Engineer - C3 - 18000404). Undertake a mixture of data ingestion and data transformation into target data models....
7,jl_42d21c4b1c0523f7,fulltime,data+engineer,30+ days ago,Data Engineer (Tier 1),JT,"£22,000 a year",Jersey,14 reviews,We currently have an exciting permanent opportunity based in Croydon to work as Tier 1 Data Engineer within our busy team....
8,jl_43d5e348c1235dc0,fulltime,data+engineer,1 day ago,Data Engineer,BGL Group,,Peterborough,78 reviews,"What will it take to be successful as a Data Engineer? As our Data Engineer you’ll contribute to the delivery of creative and innovative data solutions,..."
9,jl_d11e7c7812bc149c,fulltime,data+engineer,14 days ago,Data Engineer Professional Services,Forcepoint,,London,98 reviews,"Forcepoint is seeking a qualified full-time Professional Services Data Engineer working on client site to facilitate configuration, data integration and..."
10,jl_bf562c8353f215eb,fulltime,data+engineer,14 days ago,Infrastructure Engineer - Data Centre Services,East and North Herts Clinical Commissioning Group,"£28,050 - £36,644 a year",Welwyn Garden City AL8,,"Applications are welcome from experienced, enthusiastic, professional people who want to join our IT Core Services team in this role as an Infrastructure..."
