,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_0c101a183a2bb72e,permanent,data+engineer,8 days ago,Engineer (Data) - x 2,University of the West of England,"£29,515 - £33,199 a year",Bristol,40 reviews,"In this role you would be supporting the Principal Engineer and Senior Engineers in the delivery of a successful data management and design function, through..."
1,jl_1b6051b03b8d9c83,permanent,data+engineer,23 days ago,Data Engineer,Shop Direct,,Liverpool,225 reviews,"We work cross-functionally to make our data come to life, engaging with Data Solutions, Data Science and Data Intelligence...."
2,jl_55fc29e7d7c20bac,permanent,data+engineer,22 hours ago,Data Engineer,Barclays,,Northampton,"4,332 reviews",Data Engineer - 90208128. Conceptualize and quickly build POC on new platforms - should perform either as an individual contributor or lead a team of data...
3,jl_5687f2b75f153096,permanent,data+engineer,2 days ago,Data Engineer,Arnold Ash Ltd,"£60,000 - £75,000 a year",London,,Data Engineer - Data Science. Data Engineer - Data Scientist - Private Equity - Training provided. The Data Engineer sits within a team that is responsible for...
4,jl_294d237b64fe6c8a,permanent,data+engineer,2 days ago,Data Engineer,Brightred Resourcing Limited,"£50,000 - £60,000 a year",London,,Main Job duties and Responsibilities of Data Engineer:. Data analysis and profiling skills. We are looking for a motivated & results driven Data Engineer to...
5,jl_24eef8c5def82a90,permanent,data+engineer,30+ days ago,BI Data Engineer,Babylon Health,,London,,Bringing data from different data sources and performing data modelling in order to streamline data. Supporting all major teams with data and data insight...
6,jl_4e21ef92dcd89d02,permanent,data+engineer,30+ days ago,Data Engineer,Argos,,Milton Keynes,"2,609 reviews","To help with this journey, we are looking for a Data Engineer to join on Data Analytics team and build the data structures that will support the company for the..."
7,jl_740e28bccb2d441d,permanent,data+engineer,2 days ago,Data Analyst & Simulation Engineer,Buro Happold,,London,9 reviews,"With the role of Data Analyst & Simulation Engineer, you have an opportunity to drive this disruption behind the future of Buildings and Cities...."
8,jl_3c3d8949a3f66650,permanent,data+engineer,2 days ago,Data Analyst & Simulation Engineer,BuroHappold Engineering,,London,12 reviews,"With the role of Data Analyst & Simulation Engineer, you have an opportunity to drive this disruption behind the future of Buildings and Cities...."
9,jl_7bf59c332838f0b9,permanent,data+engineer,6 days ago,Data Engineer,Digitech Resourcing Ltd,"£60,000 - £80,000 a year",London,,Data Engineer benefits:. As the Data Engineer you'll prepare the “big data” infrastructure to be analysed by Data Scientists....
10,jl_662365212ba71b70,permanent,data+engineer,30+ days ago,Data Engineer,Kindred Group,,London,4 reviews,5+ years of professional experience as a Data Engineer / Data Warehouse Developer. We are looking for a Data engineer to join our Data warehouse & ETL team!...
