,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_6635075b094accda,fulltime,data+scientist,1 day ago,Data Scientist Intern,Illumina,,England,144 reviews,"Data Scientist Intern. Machine Learning on DNA Sequencing Data in Cancer. Previous experience with genetics data is an advantage, but not essential...."
1,jl_950a6428afc8792c,fulltime,data+scientist,10 days ago,Data Scientist,Office for National Statistics,"£35,200 a year",Newport NP10,43 reviews,We are recruiting a Data Scientist to fill a vacancy in the Data Science Campus at the Office for National Statistics. About the Data Science Campus....
2,jl_7412a8dd351cc3f4,fulltime,data+scientist,2 hours ago,Data Scientist,Aviva,,Norwich,893 reviews,We are looking for data scientists capable of utilising the latest statistical modelling and machine learning techniques to improve insurance Pricing....
3,jl_0a866fb9c1b9bde4,fulltime,data+scientist,13 days ago,Data Scientist,Fruition Partners,,Newcastle upon Tyne,7 reviews,"DXC is hiring Data Scientist in Newcastle. A Data Scientist within the Operations Engineering and Excellence (OE&E) team works within DXC to identify, develop..."
4,jl_65f4aec7d677e1bc,fulltime,data+scientist,5 hours ago,Data Scientist II,JP Morgan Chase,,London EC1M,"21,167 reviews","Expectations for Success Data Scientist II:. As a Data Scientist, your mission is to turn terabytes of data into insights that help plan, measure, and optimize..."
5,jl_6705648b65d66183,fulltime,data+scientist,10 days ago,Data Scientist - Machine Learning,Aviva,,Norwich,893 reviews,"Degree/MSc/PhD in either computer science, machine learning, data mining or statistical learning. Experience using machine learning techniques to solve problems..."
6,jl_de44409401e7c5ad,fulltime,data+scientist,30+ days ago,Data Scientist,Holland & Barrett,,Nuneaton,392 reviews,Apply big data analytical techniques across disparate datasets. Turns large sets of quantitative data into pragmatic customer insight and commercial opportunity...
7,jl_f9018a87021067de,fulltime,data+scientist,15 days ago,Data Scientist,University of Surrey,"£32,236 - £38,460 a year",Guildford,54 reviews,You’ll need to combine very strong wide-ranging data skills with those of a developer across multiple projects....
8,jl_9d83ead5839cb08d,fulltime,data+scientist,2 days ago,Data Analyst / Data Scientist,BrightLocal,,Brighton and Hove,2 reviews,Experience creating data models & forecasting. Experience managing and analysing large data sets. You need to be dedicated and able to focus on detailed data...
9,jl_d5b3e312983b2310,fulltime,data+scientist,6 days ago,Data Scientist (Python/Scala),"CGI Group, Inc.",,Corsham SN13,"2,170 reviews","Come and join us a Data Scientist. Our Data Scientists help our client to realise the hidden potential of their data through a combination of data mining,..."
10,jl_d575130d2eef82aa,fulltime,data+scientist,24 days ago,Data Scientist,DXC,,Newcastle upon Tyne,"1,644 reviews","DXC is hiring Data Scientist in Newcastle, UK. A data scientist within the Operations Engineering and Excellence (OE&E) team works within DXC to identify,..."
11,jl_a48d2101a8c79123,fulltime,data+scientist,8 days ago,Senior Data Scientist,Office for National Statistics,"£47,400 a year",Newport NP10,43 reviews,As a Senior Data Scientist within the Data Science Campus you will:. As a Senior Data Scientist with the Campus you will have a passion for data science and...
12,jl_773f9d2c2c4b4ede,fulltime,data+scientist,11 days ago,Data Scientist,Philip Morris International,,London,"1,044 reviews",PURPOSE OF THE ROLE Advanced data analysis & modelling so as to drive results on complex issues & data combinations RESPONSIBILITIES Utilize different Data...
13,jl_16da8f2513404bf6,fulltime,data+scientist,17 days ago,Data Scientist,RBS,,Edinburgh,"2,920 reviews",Supporting the broader data scientist and data analyst community to identify and deliver opportunities to support the bank’s strategic direction through better...
14,jl_e527323476f36dcb,fulltime,data+scientist,1 day ago,Data Scientist,ICF,,London,429 reviews,"Job Title Data Scientist – Aviation Practice. Experience developing data pipelines, transforming data, structuring data, extracting data from various databases,..."
15,jl_3cd068a7ede5be1e,fulltime,data+scientist,24 days ago,"Data Scientist - TensorFlow, Python, NumPy, SciPy, Pandas",Airbus Group,,Leicester,"1,225 reviews",As a Data scientist you will be joining us at exciting times - working on serious data that makes a difference....
16,jl_2ef1238fcfa3f7ef,fulltime,data+scientist,14 days ago,Data Scientist,Ambassador Theatre Group,"£45,000 - £55,000 a year",London,20 reviews,"The Data Scientist is a key role within the audience analytics team and is responsible for developing advanced analytics and visualisation applications,..."
