,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_3becc778f10b2727,permanent,data+scientist,3 hours ago,Data Scientist,Barclays,,Glasgow,"4,332 reviews","Data Scientist - 90210626. Job Title – Data Scientist. Together with implementing data quality, data lineage, data governance & strategy across the corporate..."
1,jl_311f8c87f377fec1,permanent,data+scientist,9 days ago,Graduate Data Scientist,N Brown,"£25,000 a year",Manchester M60,,What a Data Scientist will be responsible for:. Our Data Division team is a dedicated function that tackles the fundamental business challenges and...
2,jl_950a6428afc8792c,permanent,data+scientist,10 days ago,Data Scientist,Office for National Statistics,"£35,200 a year",Newport NP10,43 reviews,We are recruiting a Data Scientist to fill a vacancy in the Data Science Campus at the Office for National Statistics. About the Data Science Campus....
3,jl_8e7a2074815a0521,permanent,data+scientist,2 days ago,Data Scientist,Innovative Technology Ltd,,Oldham,11 reviews,"Are you an experienced Data Scientist, who’s looking to work in a fast paced, global, market leading company?..."
4,jl_a48d2101a8c79123,permanent,data+scientist,8 days ago,Senior Data Scientist,Office for National Statistics,"£47,400 a year",Newport NP10,43 reviews,As a Senior Data Scientist within the Data Science Campus you will:. As a Senior Data Scientist with the Campus you will have a passion for data science and...
5,jl_2ef1238fcfa3f7ef,permanent,data+scientist,14 days ago,Data Scientist,Ambassador Theatre Group,"£45,000 - £55,000 a year",London,20 reviews,"The Data Scientist is a key role within the audience analytics team and is responsible for developing advanced analytics and visualisation applications,..."
6,jl_1c2067a43b42f93c,permanent,data+scientist,2 days ago,Data Scientist,Inmarsat,,London,32 reviews,Our work analyses the masses of data gathered by our network nodes. We would like to improve how we analyse and report on our data....
7,jl_6ef0e4669d224598,permanent,data+scientist,3 days ago,Data Scientist,Asset Resourcing Ltd,"£60,000 - £80,000 a year",Leeds,,"Data Science Consultant:. Work in collaboration with several Data Science & Data Engineering teams. You will be involved in the entire Data Science lifecycle,..."
8,jl_4eb6eb7f377b9215,permanent,data+scientist,30+ days ago,Data Scientist (AVP),Barclays,,Northampton,"4,332 reviews",Data Scientist (AVP). Data Scientist (AVP) - 90202612. Conceptualize and quickly build POC on new product ideas - should perform either as an individual...
9,jl_d69e84de1f1c38fc,permanent,data+scientist,30+ days ago,Data Scientist,Saint-Gobain,,West Midlands,"2,262 reviews",In this exciting Data Scientist role you will be responsible for uncovering company inefficiencies via data mining methods so an inquisitive mind would be...
10,jl_f4b4fb6f85f5c519,permanent,data+scientist,8 days ago,CMA951 Data Scientist,Competition & Markets Authority,"£50,688 - £58,844 a year",London WC1B,3 reviews,"As a Data Scientist in the DaTA unit, you be a key member of the team, helping to shape and deliver projects and making sure the CMA is plugged in and up-to..."
11,jl_1e7d752f9231c7f9,permanent,data+scientist,1 day ago,Data Scientist - CRM,Shop Direct,,Liverpool,225 reviews,"Our data scientists sit closely with our software engineering team (metres away!). Our data scientists sit in close proximity to your commercial stakeholders,..."
12,jl_6aef216dbb75776d,permanent,data+scientist,16 days ago,Data Scientist Analyst,Lockheed Martin Corporation,,Gloucester,"6,417 reviews","Experience of designing efficient algorithms for data analysis, data mining, text mining, data manipulation and statistical analysis...."
13,jl_6912f8d657169a34,permanent,data+scientist,30+ days ago,Data Scientist,Royal London Group,,Edinburgh,36 reviews,Nurture a more data driven approach to decision making across the business by championing Analytics and Data Science....
14,jl_29d52f6b044e5bf9,permanent,data+scientist,25 days ago,Data Scientist,SoulTek,"£80,000 a year",Glasgow,,"We are seeking an experienced Data Scientist who has a proven track record in data science, data analysis and data engineering alongside the business skills..."
15,jl_c8be98b859aaed20,permanent,data+scientist,6 days ago,Data Scientist,Wallgreen Boots Alliance,,Nottingham,,Experienced in data science techniques (e.g. Strong SQL/R/Python skills or similar and experience working with large volumes of data....
16,jl_b694f4948b41a528,permanent,data+scientist,6 days ago,Data Scientist Lead UK – Financial Services,Capgemini,,London,"6,077 reviews","The Data Scientist & Analytics Lead will undertake a wide variety of challenging project work and help clients explore, visualise and mine their structured and..."
17,jl_1c337ac04e47d601,permanent,data+scientist,1 day ago,Data Scientist,Durlston Partners London Limited,"£50,000 - £70,000 a year",London,,"Clean data and build data pipelines using big-data technologies (i.e Apache Spark). Experience doing data cleaning, feature engineering, data visualisation,..."
18,jl_a31294ccedf055c5,permanent,data+scientist,17 days ago,Data Scientist,AFerry,"£30,000 - £40,000 a year",Abingdon,,We are looking for an aspiring data scientist to be part of our growing data science team. If you are passionate about data and data science and want to dig...
19,jl_7a5db9110ac22d0d,permanent,data+scientist,3 days ago,Graduate Demand Forecasting & Usage Manager / Data Scientist,RAC Motoring Services,,Walsall,109 reviews,Data skills with knowledge of relational databases and ETL. Currently we are looking for a Graduate Demand Forecasting & Usage Manager / Data Scientist to join...
20,jl_377077675a7a517d,permanent,data+scientist,20 days ago,Data Scientist,Defence Science and Technology Laboratory,"£25,000 - £36,000 a year",Salisbury SP4,17 reviews, Working with large data sets;  Large data set manipulation and analysis.  Developing and evaluating software tools and techniques for data analysis;...
