,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_a407a4dfaf332ef1,fulltime,research+scientist,5 days ago,R&D Research Scientist,ConvaTec,,Deeside,136 reviews,"Proven research & development laboratory testing skills, with the ability to move quickly between different types of research testing...."
1,jl_bd0cfe61a897cc7e,fulltime,research+scientist,9 days ago,Research Vascular Scientist,Chelsea and Westminster Hospital NHS Foundation Tr...,"£26,682 - £34,049 a year",Isleworth TW7,11 reviews,"Research Vascular Scientist, West Middlesex London. As part of the research team you will also be involved in writing or contributing to publications or..."
2,jl_aa82ca0de298dbe6,fulltime,research+scientist,22 days ago,Explosive Research Scientist,Defence Science and Technology Laboratory,"£31,500 - £35,500 a year",Salisbury SP4,17 reviews," Delivering high quality research to meet often tight timescales. Foreign travel is also occasionally requested for some trials work, conference attendance and..."
3,jl_7c6c809b5e0f60d9,fulltime,research+scientist,9 days ago,Laboratory Scientist,Anthony Nolan,"£25,000 a year",London,5 reviews,"We are looking for a Laboratory Scientist to join the Laboratory Services Team. Thanks to the incredible donors on our register, our pioneering research and our..."
4,jl_da5668de616d19b1,fulltime,research+scientist,30+ days ago,Research and Development Process Scientist,Veolia Water Technologies,,High Wycombe HP14,"2,273 reviews","These include molecular biology, pharmaceutical research, trace analysis, clinical assays and sterilisation. This requires associated chemical/microbiological..."
5,jl_23fb69a00c57a575,fulltime,research+scientist,16 days ago,Applied Sciences Graduate Programme 2019,QinetiQ,,Farnborough,160 reviews,"Our Applied Scientists fall into 4 main groupings:. Our Weapons scientists come from a variety of physics, chemistry, mathematics and engineering backgrounds...."
6,jl_f1628f70172d4bd8,fulltime,research+scientist,2 days ago,Research Assistant,University College London,"£30,922 - £32,607 a year",London,117 reviews,"The Institute draws together over 300 talented scientists who are working together to translate research discoveries into developing kinder, more effective..."
7,jl_f17691d6a0de2a25,fulltime,research+scientist,8 days ago,Research Scientist - Material & Surface Chemistry,Illumina,,England,144 reviews,Material and Surface Chemistry Scientist Role Requirements. Material and Surface Chemistry Scientist Education and Experience:....
8,jl_124f4fae015f66c9,fulltime,research+scientist,30+ days ago,Research Scientist – Laser Spectroscopy,Emerson,,Stirling,"2,026 reviews",Research Scientist – Laser Spectroscopy. As a Research Scientist you will support the development of state-of-the-art gas analysers in our new Advanced Research...
9,jl_d8e7d75fb53ec773,fulltime,research+scientist,29 days ago,Research Technician,Imperial College London,"£28,190 - £31,000 a year",Hammersmith,116 reviews,"The post holder will play a key role in the ongoing collection, preparation and cataloguing of samples and their subsequent analysis in a variety of exciting..."
10,jl_640c4e16787d8e2c,fulltime,research+scientist,3 days ago,"Scientist 1, Microbiology",Merck KGaA,,Glasgow G20,59 reviews,"Around 40,000 employees in 66 countries work to further develop technologies that improve and enhance life – from biopharmaceutical therapies to treat cancer or..."
11,jl_1149357825c2a805,fulltime,research+scientist,20 days ago,Postdoctoral Research Scientist,Babraham Institute,"£30,751 - £34,166 a year",Cambridge,2 reviews,We are looking for a highly motivated Postdoctoral Research Scientist to join the laboratory of Dr Sarah Ross within the Lymphocyte Signalling and Development...
