,job_id,job_types,job_tag,post_time,job_title,company,salary,location,no_of_review,job_summary
0,jl_aa82ca0de298dbe6,permanent,research+scientist,22 days ago,Explosive Research Scientist,Defence Science and Technology Laboratory,"£31,500 - £35,500 a year",Salisbury SP4,17 reviews," Delivering high quality research to meet often tight timescales. Foreign travel is also occasionally requested for some trials work, conference attendance and..."
1,jl_7c6c809b5e0f60d9,permanent,research+scientist,8 days ago,Laboratory Scientist,Anthony Nolan,"£25,000 a year",London,5 reviews,"We are looking for a Laboratory Scientist to join the Laboratory Services Team. Thanks to the incredible donors on our register, our pioneering research and our..."
2,jl_23fb69a00c57a575,permanent,research+scientist,16 days ago,Applied Sciences Graduate Programme 2019,QinetiQ,,Farnborough,160 reviews,"Our Applied Scientists fall into 4 main groupings:. Our Weapons scientists come from a variety of physics, chemistry, mathematics and engineering backgrounds...."
3,jl_ab1427a1bf1d44d5,permanent,research+scientist,2 days ago,Electron Microscopy Research Assistant,MRC Laboratory of Molecular Biology,"£22,201 - £25,976 a year",Cambridge,2 reviews,"You will interact with other Group Leaders, research support staff, post-doctoral scientists and students across the LMB and with external collaborators...."
4,jl_649a49555a4c93de,permanent,research+scientist,21 hours ago,Education Administrator (Research Degrees),Imperial College London,"£31,770 - £36,009 a year",Brompton,116 reviews,Its current postgraduate research (PGR) numbers average 180 enrolled research students and fellows who undertake clinical and basic academic research carried...
5,jl_dbbe9bcd407c9283,permanent,research+scientist,2 days ago,Associate Scientist I,Evotec,,Alderley Park,7 reviews,"Due to internal promotions, Cyprotex, part of the Evotec Group, are recruiting for Associate Scientists to join our Drug Metabolism team based at Alderley Park,..."
6,jl_afdf64f1ce5681f6,permanent,research+scientist,17 days ago,Clinical Laboratory Scientist – Graduate Opportunity,Webrecruit,,Greater London,,"Clinical Laboratory Scientist, Graduate Opportunity, Clinical Lab Scientist, Graduate Scientist, Graduate Laboratory Scientist, Junior Scientist, Life Scientist..."
7,jl_6d0254ab0535e5ff,permanent,research+scientist,9 days ago,Scientist I,Mondelez International,,Reading,"2,389 reviews",The role at Scientist II is to undertake a practical role with possible supervisory responsibilities within the Microscopy laboratory....
8,jl_1e13601e30a7cd7a,permanent,research+scientist,1 day ago,Research Scientist - Discovery Pharmacology,CK Group,"£30,000 - £40,000 a year",Cambridgeshire,5 reviews,Lana Premadasa at CK Science is recruiting for a Research Scientist within Discovery Pharmacology to join a rapidly expanding bio-pharmaceutical company who are...
9,jl_d8bd67a1232f50aa,permanent,research+scientist,7 days ago,Scientist (Multiple Vacancies),CG Consultants,,Hemel Hempstead,,"As a Scientist, you must have:. As a Scientist you will be entitled to:. Plan and conduct original research for the purposes of design and performance..."
10,jl_311f8c87f377fec1,permanent,research+scientist,9 days ago,Graduate Data Scientist,N Brown,"£25,000 a year",Manchester M60,,"What a Data Scientist will be responsible for:. STEM (Science, Technology, Engineering, or Mathematics) qualification and background or alternatively a..."
11,jl_5ed55fffbe249553,permanent,research+scientist,3 days ago,Research Associate / Research Scientist - Discovery Pharmaco...,Northpoint Recruitment,,Cambridge,,"As their team in the UK expands, they now have an exciting new opportunity for a skilled and motivated Research Associate or Research Scientist to join their..."
12,jl_e086cd9a20d27973,permanent,research+scientist,1 day ago,Research Scientist - Molecular Biology,CK Group,"£30,000 - £40,000 a year",Cambridgeshire,5 reviews,Lana Premadasa is recruiting for a Research Scientist within Discovery Pharmacology to join a rapidly expanding bio-pharmaceutical company who are developing a...
13,jl_e691d9842ac95d99,permanent,research+scientist,1 day ago,Research Scientist - Phage Display,CK Group,"£35,000 - £45,000 a year",Cambridgeshire,5 reviews,Lana Premadasa at CK Science is recruiting for a Phage Display Scientist to join a rapidly expanding bio-pharmaceutical company who are developing a novel class...
