,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,jl_3becc778f10b2727,permanent,data+scientist,"<span class=""date"">2 hours ago</span>",Data Scientist,Barclays,,Glasgow,"4,332 reviews",4 out of 5,"nosql,hive,r,java,sql,python,scala","intelligence,programming,modelling,statistical,artificial,machine,ml","mathematics,statistics","Data Scientist - 90210626. Job Title – Data Scientist. Together with implementing data quality, data lineage, data governance & strategy across the corporate..."
1,jl_311f8c87f377fec1,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Graduate Data Scientist,N Brown,"£25,000 a year",Manchester M60,,,"sql,python,r,sas","ai,research,machine,ml","mathematics,statistics",What a Data Scientist will be responsible for:. Our Data Division team is a dedicated function that tackles the fundamental business challenges and...
2,jl_950a6428afc8792c,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Data Scientist,Office for National Statistics,"£35,200 a year",Newport NP10,43 reviews,4.2 out of 5,None,"intelligence,statistical,analysis,artificial,research,machine","mathematics,statistics,degree",We are recruiting a Data Scientist to fill a vacancy in the Data Science Campus at the Office for National Statistics. About the Data Science Campus....
3,jl_8e7a2074815a0521,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Data Scientist,Innovative Technology Ltd,,Oldham,11 reviews,,"python,c++,r","artificial,research,machine,programming","phd,mathematics,degree","Are you an experienced Data Scientist, who’s looking to work in a fast paced, global, market leading company?..."
4,jl_a48d2101a8c79123,permanent,data+scientist,"<span class=""date"">8 days ago</span>",Senior Data Scientist,Office for National Statistics,"£47,400 a year",Newport NP10,43 reviews,4.2 out of 5,"sql,nosql,python,r","mining,intelligence,programming,modelling,statistical,analysis,artificial,research,machine","statistics,degree",As a Senior Data Scientist within the Data Science Campus you will:. As a Senior Data Scientist with the Campus you will have a passion for data science and...
5,jl_2ef1238fcfa3f7ef,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Data Scientist,Ambassador Theatre Group,"£45,000 - £55,000 a year",London,20 reviews,3.8 out of 5,"sql,r",machine,statistics,"The Data Scientist is a key role within the audience analytics team and is responsible for developing advanced analytics and visualisation applications,..."
6,jl_1c2067a43b42f93c,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Data Scientist,Inmarsat,,London,32 reviews,4.1 out of 5,python,"programming,statistical,analysis,artificial,machine,ai,ml",None,Our work analyses the masses of data gathered by our network nodes. We would like to improve how we analyse and report on our data....
7,jl_d69e84de1f1c38fc,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Saint-Gobain,,West Midlands,"2,262 reviews",4 out of 5,None,"mining,modelling","bachelor,degree",In this exciting Data Scientist role you will be responsible for uncovering company inefficiencies via data mining methods so an inquisitive mind would be...
8,jl_6ef0e4669d224598,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist,Asset Resourcing Ltd,"£60,000 - £80,000 a year",Leeds,,,"spss,tableau,matlab,r,sql,python,qlik,sas","statistical,analysis,machine,modelling",degree,"Data Science Consultant:. Work in collaboration with several Data Science & Data Engineering teams. You will be involved in the entire Data Science lifecycle,..."
9,jl_1e7d752f9231c7f9,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist - CRM,Shop Direct,,Liverpool,225 reviews,3.9 out of 5,None,"statistical,machine,analysis,programming","phd,statistics","Our data scientists sit closely with our software engineering team (metres away!). Our data scientists sit in close proximity to your commercial stakeholders,..."
10,jl_f4b4fb6f85f5c519,permanent,data+scientist,"<span class=""date"">8 days ago</span>",CMA951 Data Scientist,Competition & Markets Authority,"£50,688 - £58,844 a year",London WC1B,3 reviews,,"python,r","machine,analysis,intelligence,artificial",degree,"As a Data Scientist in the DaTA unit, you be a key member of the team, helping to shape and deliver projects and making sure the CMA is plugged in and up-to..."
11,jl_6aef216dbb75776d,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist Analyst,Lockheed Martin Corporation,,Gloucester,"6,417 reviews",4.1 out of 5,"hadoop,hive,c","mining,intelligence,programming,statistical,analysis,artificial,research,machine,mathematical","statistics,bachelor,degree","Experience of designing efficient algorithms for data analysis, data mining, text mining, data manipulation and statistical analysis...."
12,jl_4eb6eb7f377b9215,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist (AVP),Barclays,,Northampton,"4,332 reviews",4 out of 5,"hadoop,nosql,hive,python","mining,modelling,statistical,analysis,machine",statistics,Data Scientist (AVP). Data Scientist (AVP) - 90202612. Conceptualize and quickly build POC on new product ideas - should perform either as an individual...
